"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
963,"2019-03-07 00:06:00 GMT+0300","84210201108","PUT","8134.536","8131.299","0.70",1.36,"0.66"
964,"2019-03-07 00:11:06 GMT+0300","84210689288","PUT","8131.262","8131.599",0.35,"0.00","-0.35"
965,"2019-03-07 00:16:12 GMT+0300","84211174308","CALL","8131.352","8133.399","0.70",1.36,"0.66"
966,"2019-03-07 00:21:18 GMT+0300","84211662748","PUT","8133.878","8134.354",0.35,"0.00","-0.35"
967,"2019-03-07 00:26:24 GMT+0300","84212143848","PUT","8134.209","8133.875","0.70",1.36,"0.66"
968,"2019-03-07 00:31:34 GMT+0300","84212622368","PUT","8133.371","8132.100",0.35,0.66,"0.31"
969,"2019-03-07 00:36:37 GMT+0300","84213087388","PUT","8132.179","8132.400",0.35,"0.00","-0.35"
970,"2019-03-07 00:41:42 GMT+0300","84213579428","CALL","8132.744","8127.231","0.70","0.00","-0.70"
971,"2019-03-07 00:46:46 GMT+0300","84214089988","PUT","8126.897","8127.855","1.40","0.00","-1.40"
972,"2019-03-07 00:51:50 GMT+0300","84214596588","PUT","8128.152","8126.216","2.80",5.44,"2.64"
973,"2019-03-07 00:56:56 GMT+0300","84215111908","PUT","8125.970","8130.527",0.35,"0.00","-0.35"
974,"2019-03-07 01:02:00 GMT+0300","84215603708","CALL","8130.614","8135.903","0.70",1.36,"0.66"
975,"2019-03-07 01:07:06 GMT+0300","84216076248","CALL","8136.424","8135.569",0.35,"0.00","-0.35"
976,"2019-03-07 01:12:10 GMT+0300","84216558648","CALL","8135.039","8132.287","0.70","0.00","-0.70"
977,"2019-03-07 01:17:14 GMT+0300","84217020528","PUT","8132.156","8133.711","1.40","0.00","-1.40"
978,"2019-03-07 01:22:20 GMT+0300","84217487848","PUT","8133.003","8134.510","2.80","0.00","-2.80"
979,"2019-03-07 01:27:26 GMT+0300","84217950828","CALL","8133.001","8139.831","5.60",10.88,"5.28"
980,"2019-03-07 01:32:30 GMT+0300","84218416008","CALL","8140.159","8139.374",0.35,"0.00","-0.35"
981,"2019-03-07 01:37:34 GMT+0300","84218885608","CALL","8139.874","8138.807","0.70","0.00","-0.70"
982,"2019-03-07 01:42:38 GMT+0300","84219352308","CALL","8138.308","8137.224","1.40","0.00","-1.40"
983,"2019-03-07 01:47:44 GMT+0300","84219833208","PUT","8136.892","8135.963","2.80",5.44,"2.64"
984,"2019-03-07 01:52:48 GMT+0300","84220296668","PUT","8135.975","8135.024",0.35,0.66,"0.31"
985,"2019-03-07 01:57:51 GMT+0300","84220761948","CALL","8135.545","8132.778",0.35,"0.00","-0.35"
986,"2019-03-07 02:02:56 GMT+0300","84221233768","PUT","8132.979","8137.302","0.70","0.00","-0.70"
987,"2019-03-07 02:08:02 GMT+0300","84221693268","PUT","8137.627","8139.804","1.40","0.00","-1.40"
988,"2019-03-07 02:13:08 GMT+0300","84222168888","CALL","8139.637","8140.120","2.80",5.44,"2.64"
989,"2019-03-07 02:18:12 GMT+0300","84222637248","PUT","8139.911","8142.070",0.35,"0.00","-0.35"
990,"2019-03-07 02:23:16 GMT+0300","84223089728","PUT","8142.103","8142.135","0.70","0.00","-0.70"
991,"2019-03-07 02:28:20 GMT+0300","84223519828","CALL","8141.273","8144.184","1.40",2.72,"1.32"
992,"2019-03-07 02:33:24 GMT+0300","84223959048","CALL","8143.322","8140.756",0.35,"0.00","-0.35"
993,"2019-03-07 02:38:30 GMT+0300","84224407268","CALL","8140.987","8141.951","0.70",1.36,"0.66"
994,"2019-03-07 02:43:36 GMT+0300","84224856868","PUT","8141.382","8146.384",0.35,"0.00","-0.35"
