"id","timestamp","reference","contract_type","entry_tick","exit_tick","buy_price","sell_price","profit"
27,"2019-02-26 20:40:02 GMT+0300","30878942541","CALL","8318.285","8320.548","2.80",5.44,"2.64"
28,"2019-02-26 20:55:01 GMT+0300","30879244381","PUT","8320.651","8322.194",0.35,"0.00","-0.35"
29,"2019-02-26 21:10:03 GMT+0300","30879535281","PUT","8323.435","8324.903","0.70","0.00","-0.70"
30,"2019-02-26 21:20:03 GMT+0300","30879745961","PUT","8322.949","8323.474","1.40","0.00","-1.40"
31,"2019-02-26 21:30:00 GMT+0300","30879933901","PUT","8321.032","8322.105","2.80","0.00","-2.80"
32,"2019-02-26 21:35:06 GMT+0300","30880028341","CALL","8321.505","8317.987","5.60","0.00","-5.60"
33,"2019-02-26 21:40:12 GMT+0300","30880130561","CALL","8318.122","8319.079","11.20",21.75,"10.55"
34,"2019-02-26 21:45:20 GMT+0300","30880227061","CALL","8319.946","8318.503",0.35,"0.00","-0.35"
35,"2019-02-26 21:50:27 GMT+0300","30880316781","CALL","8318.955","8319.894","0.70",1.36,"0.66"
36,"2019-02-26 21:55:36 GMT+0300","30880415581","CALL","8319.653","8317.541",0.35,"0.00","-0.35"
37,"2019-02-26 22:00:42 GMT+0300","30880505881","PUT","8317.418","8321.703","0.70","0.00","-0.70"
38,"2019-02-26 22:05:52 GMT+0300","30880593221","PUT","8321.704","8320.867","1.40",2.72,"1.32"
39,"2019-02-26 22:15:03 GMT+0300","30880738781","PUT","8319.996","8318.351",0.35,0.66,"0.31"
40,"2019-02-26 22:25:00 GMT+0300","30880904141","CALL","8321.598","8325.899",0.35,0.66,"0.31"
41,"2019-02-26 22:40:02 GMT+0300","30881186041","PUT","8319.082","8317.165",0.35,0.66,"0.31"
42,"2019-02-26 22:50:00 GMT+0300","30881370421","PUT","8318.812","8322.110",0.35,"0.00","-0.35"
43,"2019-02-26 22:55:06 GMT+0300","30881465841","CALL","8322.422","8323.775","0.70",1.36,"0.66"
44,"2019-02-26 23:10:03 GMT+0300","30881724601","PUT","8321.901","8315.437",0.35,0.66,"0.31"
45,"2019-02-26 23:25:02 GMT+0300","30881956521","CALL","8322.883","8322.567",0.35,"0.00","-0.35"
46,"2019-02-26 23:45:06 GMT+0300","30882242361","PUT","8323.536","8324.066","0.70","0.00","-0.70"
47,"2019-02-26 23:50:10 GMT+0300","30882309081","PUT","8324.052","8324.179","1.40","0.00","-1.40"
48,"2019-02-26 00:00:03 GMT+0300","30882436241","PUT","8322.299","8322.298","2.80",5.44,"2.64"
49,"2019-02-26 00:15:09 GMT+0300","30882628541","CALL","8319.678","8317.533",0.35,"0.00","-0.35"
50,"2019-02-26 00:25:00 GMT+0300","30882744541","PUT","8317.547","8314.450","0.70",1.36,"0.66"
